Sl.No,Camera G 5 Long,,"It is a Fantastic deive Which I have ever seen,It is an UNCOMPRAMISE device?"
1ScreenCamera Camera 5 LongScreen Screen The fingerprint reader works like a charm. Sharp display. Really cool camera. Google voice assist is very responsive. Reliance Jio works seamlessly.ÿ
2 Screen Camera Camera Long Screen  Screen "Camera is performance is good,battery is good,pretty decent.Display is also good,5.2 inch will not disappoint (doesn't looks small"
3,Camera Camera Long,,Delivery Within 2 Days (Awsm)
4,Camera Camera Long,, No Heating Issue
5,Camera Camera Long,,Screen Touch is amazing
6,Camera Camera Long,,Overall performance is good but i am facing issue with mic. and charging takes ages.
7,Camera Camera Long,,Phone weight is fine
8,Camera Camera Long,,Camera quality is not as expected˜
9,Camera Camera Long,,Overall good deal in this price
10,Camera Camera Long,,Nothing to say about this product.˜
11,Camera Camera Long,,This is simply awesome.
12,Camera Camera Long,,"Everything working super perfectly, touch is very smooth, clear sound, Good Camera, very handy device."
13,Camera Camera Long,,No problem at all.
14,Camera Camera Long,,"Guys don't think, Go For It."
15,Camera Camera Long,,"Here is one update for the device, DO NOT install the 8.2.4.0 update in this device."
16,Camera Camera Long,,"After updating to this version, your device becomes full of bug."
17,Camera Camera Long,,Camera front 7.5/10
18,Camera Camera Long,,Camera back 6.5/10
19,Camera Camera Long,,Display 8/10
20,Camera Camera Long,,Battery 9.5/10
21,Camera Camera Long,,Tamper glass not adjust due to 2.5d glass
22,Camera Camera Long,,Camera Quality is Good
23,Camera Camera Long,,HD Display
24,Camera Camera Battery,,Slim & Good Design
25,Camera Camera Battery,,4G Supports
26,Camera Camera Battery,,Latest Android Version
27,Camera Long Battery,,Negative Points
28,Camera Long Battery,,Negative Points
29,Camera Long Battery,,Less Internal Storage
30,Camera Long Battery,,More than Worth to buy .
31,Camera Long Battery,,Simply super With 1.5GB RAM
32,Camera Long Battery,,Processor is Excellent
33,Camera Long Battery,,RAM is No hanging up & No heating
34,Camera Long Battery,,Replaceble battery
35,Camera Long Battery,,Wonderful clicks with Excellent back and front camera
36,Camera Long Battery,,4G is Awesome
37,Camera Long Battery,,Awesome touchscreen
